_id,accepted_answer_id,answer_count,comment_count,creation_date,favorite_count,owner_user_id,related_posts,score,tags,title,view_count
7525,7695,12,0,2008-08-11T04:52:50.8,14,61,[5727],20,"[""c++"",""memory"",""stack"",""heap-memory""]","Of Memory Management, Heap Corruption, and C++",15325
39567,9571767,12,0,2008-09-02T13:53:55.143,49,4142,[11856407],132,"[""ruby"",""arrays"",""hashmap""]",What is the best way to convert an array to a hash in Ruby,142747
41039,78966,12,0,2008-09-03T01:49:04.27,23,952,[469732],102,"[""tfs"",""search"",""visual-studio-2008"",""code-search-engine""]",Find in Files: Search all code in Team Foundation Server,113164
72899,73050,18,1,2008-09-16T14:27:47.47,613,12398,[5212870],2364,"[""python"",""sorting"",""dictionary"",""list"",""data-structures""]",How do I sort a list of dictionaries by a value of the dictionary?,967385
97050,101980,8,1,2008-09-18T21:14:26.307,68,16496,[15559655],96,"[""c++"",""optimization"",""stl"",""stdmap""]",std::map insert or std::map find?,73639
135361,,8,3,2008-09-25T19:15:59.347,6,,[1355956],26,"[""svn"",""shared""]",Subversion and shared files across repositories/projects?,18359
153079,153203,9,1,2008-09-30T13:45:48.37,4,4206,[150339],5,"["".net"",""java"",""apache"",""ms-office"",""office-interop""]",How can I read MS Office files in a server without installing MS Office and without using the Interop Library?,5144
202813,202854,25,5,2008-10-14T21:02:58.73,81,2025,[365615],612,"[""c#"",""arrays""]",Adding values to a C# array,2030713
211143,211161,7,3,2008-10-17T05:14:15.96,67,2648,[30616864],168,"[""java"",""generics"",""enums"",""crtp""]",Java Enum definition,23504
241899,266475,5,0,2008-10-28T00:54:02.79,,19799,[186631],1,"[""asp.net"",""ajax"",""json"",""web-services""]",How can you create an ASP.Net 2.0 web service that consumes and produces JSON objects?,1647
273743,273776,16,0,2008-11-07T21:44:26.753,315,2476,[17282915],624,"[""shell"",""wget""]",Using wget to recursively fetch a directory with arbitrary files in it,842671
292642,292738,3,1,2008-11-15T14:57:09.857,2,35513,[8891944],8,"[""css"",""styling"",""printing-web-page""]",Print Stylesheets for pages with long horizontal tables,13084
340981,342821,3,0,2008-12-04T15:27:46.81,,34145,[25919083],1,"[""java"",""printing"",""swing""]",Send a JPanel to the printer,5921
372453,372480,1,2,2008-12-16T19:47:38.34,1,7734,[308279],3,"[""c++"",""stl"",""vector""]",Populate a vector<int> from integers in a char *,946
382997,383021,5,0,2008-12-20T06:13:30.55,3,22291,[15067300],7,"[""windows"",""asp.net"",""scheduled-tasks""]",How do you handle scheduled tasks for your websites running on IIS?,11180
425158,425172,11,0,2009-01-08T17:30:17.323,145,5630,[3669121],625,"[""mysql"",""sql"",""database"",""mysqldump""]",Skip certain tables with mysqldump,382111
454868,840720,23,4,2009-01-18T09:23:11.627,137,42124,[1828043],243,"["".net"",""wpf"",""design-patterns"",""dialog"",""mvvm""]",Handling Dialogs in WPF with MVVM,124079
476426,476437,8,0,2009-01-24T18:12:35.2,12,58433,[1809494],43,"[""html"",""php"",""forms"",""checkbox""]",Submit an HTML form with empty checkboxes,77761
484764,484809,8,0,2009-01-27T19:06:34.55,1,,[217980],2,"[""endianness""]",endianness theory and concept,1918
499634,499659,17,0,2009-01-31T21:37:40.727,46,44522,[493311],73,"[""language-agnostic"",""debugging"",""multithreading""]",How to detect and debug multi-threading problems?,60472
